date,demand
2024-01-01,157
2024-01-02,154
2024-01-03,172
2024-01-04,191
2024-01-05,170
2024-01-06,174
2024-01-07,205
2024-01-08,196
2024-01-09,180
2024-01-10,196
2024-01-11,182
2024-01-12,181
2024-01-13,190
2024-01-14,155
2024-01-15,155
2024-01-16,168
2024-01-17,157
2024-01-18,172
2024-01-19,148
2024-01-20,135
2024-01-21,173
2024-01-22,142
2024-01-23,142
2024-01-24,115
2024-01-25,124
2024-01-26,131
2024-01-27,110
2024-01-28,132
2024-01-29,117
2024-01-30,122
2024-01-31,119
2024-02-01,158
2024-02-02,133
2024-02-03,122
2024-02-04,155
2024-02-05,130
2024-02-06,157
2024-02-07,130
2024-02-08,146
2024-02-09,175
2024-02-10,189
2024-02-11,186
2024-02-12,187
2024-02-13,189
2024-02-14,175
2024-02-15,189
2024-02-16,195
2024-02-17,219
2024-02-18,208
2024-02-19,175
2024-02-20,205
2024-02-21,191
2024-02-22,183
2024-02-23,199
2024-02-24,200
2024-02-25,194
2024-02-26,162
2024-02-27,164
2024-02-28,168
2024-02-29,173
2024-03-01,146
2024-03-02,147
2024-03-03,129
2024-03-04,125
2024-03-05,153
2024-03-06,160
2024-03-07,139
2024-03-08,156
2024-03-09,148
2024-03-10,136
2024-03-11,154
2024-03-12,176
2024-03-13,158
2024-03-14,187
2024-03-15,130
2024-03-16,188
2024-03-17,183
2024-03-18,184
2024-03-19,195
2024-03-20,170
2024-03-21,201
2024-03-22,214
2024-03-23,234
2024-03-24,207
2024-03-25,204
2024-03-26,209
2024-03-27,230
2024-03-28,220
2024-03-29,205
2024-03-30,218
2024-03-31,208
2024-04-01,217
2024-04-02,187
2024-04-03,187
2024-04-04,181
2024-04-05,159
2024-04-06,181
2024-04-07,175
2024-04-08,166
2024-04-09,159
2024-04-10,138
2024-04-11,150
2024-04-12,150
2024-04-13,142
2024-04-14,152
2024-04-15,161
2024-04-16,186
2024-04-17,163
2024-04-18,168
2024-04-19,168
2024-04-20,145
2024-04-21,179
2024-04-22,187
2024-04-23,229
2024-04-24,195
2024-04-25,209
2024-04-26,209
2024-04-27,198
2024-04-28,237
2024-04-29,235
2024-04-30,239
2024-05-01,216
2024-05-02,252
2024-05-03,210
2024-05-04,239
2024-05-05,262
2024-05-06,212
2024-05-07,215
2024-05-08,221
2024-05-09,208
2024-05-10,187
2024-05-11,206
2024-05-12,183
2024-05-13,201
2024-05-14,175
2024-05-15,207
2024-05-16,168
2024-05-17,171
2024-05-18,185
2024-05-19,152
2024-05-20,172
2024-05-21,188
2024-05-22,145
2024-05-23,173
2024-05-24,176
2024-05-25,188
2024-05-26,161
2024-05-27,165
2024-05-28,198
2024-05-29,200
2024-05-30,206
2024-05-31,213
2024-06-01,204
2024-06-02,224
2024-06-03,230
2024-06-04,220
2024-06-05,263
2024-06-06,246
2024-06-07,224
2024-06-08,254
2024-06-09,231
2024-06-10,257
2024-06-11,262
2024-06-12,230
2024-06-13,254
2024-06-14,243
2024-06-15,245
2024-06-16,256
2024-06-17,219
2024-06-18,206
2024-06-19,199
2024-06-20,194
2024-06-21,200
2024-06-22,202
2024-06-23,196
2024-06-24,201
2024-06-25,186
2024-06-26,206
2024-06-27,179
2024-06-28,223
2024-06-29,193
2024-06-30,172
2024-07-01,172
2024-07-02,198
2024-07-03,192
2024-07-04,211
2024-07-05,213
2024-07-06,211
2024-07-07,205
2024-07-08,201
2024-07-09,224
2024-07-10,249
2024-07-11,245
2024-07-12,228
2024-07-13,253
2024-07-14,260
2024-07-15,244
2024-07-16,261
2024-07-17,260
2024-07-18,242
2024-07-19,264
2024-07-20,265
2024-07-21,270
2024-07-22,265
2024-07-23,225
2024-07-24,226
2024-07-25,243
2024-07-26,238
2024-07-27,232
2024-07-28,277
2024-07-29,223
2024-07-30,226
2024-07-31,220
2024-08-01,212
2024-08-02,195
2024-08-03,209
2024-08-04,185
2024-08-05,193
2024-08-06,191
2024-08-07,201
2024-08-08,238
2024-08-09,179
2024-08-10,221
2024-08-11,192
2024-08-12,215
2024-08-13,244
2024-08-14,235
2024-08-15,224
2024-08-16,236
2024-08-17,262
2024-08-18,246
2024-08-19,265
2024-08-20,267
2024-08-21,260
2024-08-22,304
2024-08-23,283
2024-08-24,243
2024-08-25,276
2024-08-26,262
2024-08-27,282
