day,hour,temperature,traffic_volume
1,0,21,404
1,1,34,603
1,2,29,447
1,3,25,534
1,4,22,472
1,5,35,557
1,6,21,551
1,7,33,544
1,8,37,594
1,9,25,603
1,10,25,628
1,11,38,793
1,12,35,767
1,13,18,648
1,14,22,665
1,15,38,798
1,16,17,606
1,17,36,800
1,18,35,834
1,19,16,590
1,20,38,897
1,21,26,770
1,22,20,743
1,23,16,718
2,0,35,427
2,1,15,319
2,2,26,484
2,3,36,602
2,4,26,532
2,5,39,680
2,6,31,675
2,7,24,560
2,8,30,604
2,9,29,545
2,10,29,571
2,11,33,721
2,12,26,693
2,13,37,842
2,14,34,708
2,15,39,799
2,16,17,622
2,17,19,747
2,18,33,805
2,19,21,772
2,20,35,858
2,21,23,802
2,22,21,791
2,23,32,873
3,0,18,328
3,1,39,591
3,2,28,584
3,3,32,608
3,4,23,468
3,5,35,607
3,6,16,363
3,7,34,717
3,8,29,654
3,9,21,538
3,10,26,620
3,11,22,476
3,12,29,645
3,13,17,631
3,14,28,739
3,15,31,751
3,16,18,619
3,17,32,814
3,18,22,675
3,19,18,581
3,20,16,659
3,21,20,735
3,22,36,946
3,23,24,712
4,0,18,373
4,1,36,571
4,2,32,494
4,3,26,529
4,4,16,457
4,5,24,500
4,6,18,572
4,7,28,569
4,8,30,597
4,9,29,601
4,10,22,529
4,11,28,617
4,12,37,678
4,13,39,775
4,14,22,632
4,15,35,660
4,16,30,734
4,17,27,727
4,18,32,815
4,19,29,835
4,20,35,892
4,21,38,863
4,22,39,883
4,23,27,843
5,0,23,402
5,1,29,443
5,2,27,618
5,3,15,379
5,4,39,618
5,5,21,375
5,6,23,562
5,7,38,635
5,8,15,471
5,9,26,643
5,10,22,521
5,11,38,748
5,12,25,706
5,13,33,602
5,14,31,679
5,15,22,599
5,16,17,600
5,17,17,622
5,18,15,566
5,19,19,642
5,20,24,701
5,21,21,707
5,22,23,770
5,23,21,800
6,0,23,482
6,1,22,467
6,2,26,446
6,3,16,404
6,4,15,528
6,5,30,625
6,6,37,637
6,7,37,754
6,8,38,680
6,9,19,491
6,10,17,589
6,11,26,559
6,12,22,504
6,13,36,802
6,14,17,581
6,15,15,581
6,16,17,591
6,17,19,633
6,18,29,737
6,19,28,733
6,20,17,650
6,21,15,644
6,22,19,678
6,23,37,887
7,0,28,354
7,1,21,459
7,2,23,479
7,3,29,530
7,4,29,561
7,5,24,528
7,6,27,523
7,7,33,608
7,8,21,556
7,9,31,655
7,10,34,792
7,11,18,625
7,12,19,616
7,13,37,726
7,14,21,591
7,15,27,644
7,16,29,743
7,17,25,567
7,18,18,627
7,19,27,739
7,20,21,633
7,21,33,884
7,22,36,833
7,23,16,718
8,0,24,579
8,1,27,404
8,2,39,612
8,3,35,574
8,4,20,429
8,5,26,573
8,6,26,605
8,7,34,683
8,8,25,533
8,9,37,826
8,10,39,651
8,11,21,523
8,12,15,538
8,13,15,549
8,14,39,824
8,15,39,894
8,16,34,774
8,17,27,730
8,18,23,670
8,19,17,684
8,20,21,694
8,21,20,699
8,22,22,777
8,23,23,826
9,0,19,279
9,1,15,383
9,2,33,546
9,3,24,532
9,4,26,507
9,5,38,720
9,6,29,546
9,7,36,553
9,8,38,752
9,9,23,522
9,10,34,610
9,11,31,675
9,12,31,678
9,13,34,776
9,14,26,714
9,15,21,639
9,16,16,555
9,17,17,639
9,18,31,788
9,19,19,703
9,20,31,766
9,21,38,874
9,22,31,865
9,23,31,917
10,0,16,408
10,1,16,379
10,2,36,565
10,3,37,635
10,4,19,395
10,5,15,384
10,6,15,515
10,7,33,655
10,8,16,462
10,9,35,726
10,10,26,674
10,11,20,542
10,12,37,728
10,13,18,547
10,14,37,828
10,15,25,723
10,16,38,889
10,17,31,815
10,18,20,588
10,19,38,879
10,20,19,637
10,21,34,829
10,22,16,698
10,23,20,786
11,0,36,515
11,1,25,348
11,2,30,539
11,3,30,677
11,4,15,399
11,5,23,507
11,6,20,579
11,7,30,634
11,8,17,500
11,9,34,697
11,10,18,542
11,11,33,638
11,12,17,482
11,13,33,819
11,14,34,759
11,15,21,640
11,16,34,775
11,17,23,724
11,18,15,746
11,19,22,731
11,20,21,680
11,21,32,828
11,22,22,803
11,23,15,665
12,0,25,492
12,1,39,488
12,2,39,608
12,3,32,596
12,4,37,693
12,5,24,474
12,6,17,384
12,7,21,501
12,8,30,563
12,9,30,627
12,10,39,739
12,11,34,639
12,12,31,730
12,13,16,547
12,14,15,614
12,15,30,632
12,16,26,649
12,17,19,670
12,18,19,620
12,19,37,846
12,20,23,730
12,21,23,752
12,22,17,666
12,23,33,882
13,0,30,460
13,1,30,548
13,2,17,394
13,3,34,592
13,4,38,768
13,5,36,579
13,6,38,739
13,7,15,322
13,8,38,596
13,9,34,612
13,10,25,541
13,11,31,685
13,12,22,614
13,13,18,562
13,14,20,602
13,15,22,671
13,16,34,821
13,17,17,558
13,18,30,751
13,19,39,871
13,20,17,694
13,21,39,866
13,22,32,845
13,23,28,826
14,0,32,484
14,1,16,338
14,2,36,594
14,3,17,408
14,4,30,585
14,5,23,452
14,6,18,452
14,7,15,443
14,8,18,540
14,9,15,437
14,10,28,641
14,11,35,727
14,12,30,762
14,13,34,684
14,14,38,757
14,15,22,598
14,16,21,566
14,17,17,713
14,18,31,717
14,19,15,594
14,20,30,865
14,21,26,687
14,22,33,897
14,23,36,834
15,0,37,632
15,1,36,466
15,2,28,422
15,3,20,417
15,4,20,508
15,5,27,543
15,6,33,603
15,7,36,732
15,8,22,647
15,9,16,528
15,10,35,668
15,11,15,494
15,12,29,605
15,13,15,550
15,14,19,518
15,15,30,752
15,16,33,870
15,17,18,670
15,18,17,616
15,19,31,821
15,20,31,891
15,21,26,853
15,22,28,759
15,23,35,920
16,0,20,392
16,1,17,425
16,2,23,479
16,3,19,316
16,4,38,622
16,5,31,594
16,6,28,498
16,7,35,684
16,8,17,413
16,9,15,445
16,10,34,757
16,11,35,670
16,12,37,778
16,13,15,457
16,14,17,684
16,15,32,729
16,16,39,834
16,17,24,703
16,18,36,860
16,19,17,579
16,20,22,719
16,21,28,762
16,22,38,825
16,23,32,914
17,0,29,472
17,1,36,587
17,2,37,608
17,3,16,388
17,4,24,598
17,5,16,432
17,6,31,522
17,7,22,504
17,8,15,494
17,9,23,591
17,10,25,545
17,11,36,771
17,12,30,591
17,13,21,662
17,14,24,584
17,15,37,783
17,16,17,663
17,17,32,780
17,18,39,900
17,19,38,895
17,20,27,834
17,21,21,778
17,22,39,897
17,23,18,756
18,0,27,393
18,1,34,552
18,2,15,420
18,3,22,471
18,4,28,562
18,5,30,564
18,6,28,626
18,7,26,560
18,8,33,626
18,9,37,749
18,10,29,569
18,11,16,550
18,12,16,487
18,13,37,828
18,14,36,756
18,15,33,761
18,16,39,850
18,17,36,718
